movie_id,genre
2844,Crime
2844,Drama
4936,Comedy
4936,Short
4972,Drama
4972,History
4972,Romance
4972,War
5078,Drama
6684,Short
6684,Comedy
6689,Short
6689,Comedy
7264,Comedy
7264,Short
7880,Short
7880,Comedy
8133,Short
8133,Comedy
8133,Drama
8133,Romance
9018,Short
9018,Comedy
9968,Drama
9968,Romance
11267,Biography
11267,Comedy
11267,Drama
11267,Sport
11508,Short
11508,Comedy
11508,Romance
11541,Short
11541,Comedy
11607,Comedy
11607,Drama
11607,Horror
11717,Action
11717,Adventure
12349,Comedy
12349,Drama
12349,Family
12364,Drama
12364,Fantasy
12364,Horror
12651,Crime
12651,Drama
12651,Horror
12651,Mystery
13025,Short
13025,Comedy
13025,Family
13086,Crime
13086,Mystery
13086,Thriller
13427,Documentary
13442,Horror
14142,Drama
14142,Romance
14341,Comedy
14341,Family
14429,Comedy
14429,Romance
14429,Thriller
14538,Comedy
14872,Short
15002,Comedy
15064,Drama
15163,Action
15163,Comedy
15324,Comedy
15324,Fantasy
15361,Drama
15400,Adventure
15400,Family
15400,Fantasy
15400,Romance
15624,Drama
15624,Romance
15624,War
15648,Drama
15648,History
15864,Adventure
15864,Comedy
15864,Family
15864,Romance
15864,Western
15881,Drama
16332,Comedy
16332,Family
16332,Romance
16847,Drama
16847,Fantasy
16847,Horror
17075,Crime
17075,Drama
17075,Mystery
17075,Thriller
17136,Drama
17136,Sci-Fi
17196,Drama
17196,Romance
17925,Action
17925,Adventure
17925,Comedy
17925,Romance
17925,War
18217,Drama
18217,History
18455,Drama
18455,Romance
18578,Drama
18578,Romance
18578,War
18578,Action
18742,Comedy
18742,Romance
18742,Family
18742,Drama
18773,Comedy
18773,Romance
18806,Drama
18806,Romance
19130,Drama
19130,Horror
19130,Mystery
19130,Romance
19130,Thriller
19254,Biography
19254,Drama
19254,History
19421,Action
19421,Comedy
19421,Drama
19421,Family
19421,Romance
19729,Musical
19729,Romance
19760,Documentary
19901,Comedy
19901,Drama
19901,Romance
19901,Sci-Fi
20530,Short
20530,Fantasy
20581,Drama
20629,Drama
20629,War
20686,Drama
20686,Thriller
20693,Biography
20693,Drama
20693,Romance
20693,Western
20768,Drama
20768,Romance
20902,Comedy
20902,Musical
20980,Romance
20980,Crime
20980,Drama
21079,Crime
21079,Drama
21156,Romance
21156,Drama
21283,
21406,Drama
21577,Comedy
21577,Drama
21746,Drama
21746,Western
21749,Comedy
21749,Drama
21749,Romance
21814,Horror
21884,Horror
21884,Sci-Fi
22100,Crime
22100,Drama
22100,Film-Noir
22100,Thriller
22279,Comedy
22279,Drama
22458,Drama
22458,Romance
22458,Adventure
22792,Drama
22792,Action
22834,Drama
22913,Drama
22913,Horror
22913,Thriller
22958,Drama
22958,Romance
23158,Comedy
23158,Musical
23158,Romance
23194,Adventure
23194,Horror
23194,Sci-Fi
23238,Adventure
23238,Mystery
23238,Thriller
23249,Crime
23249,Horror
23249,Mystery
23251,Comedy
23251,Short
23266,Drama
23305,Drama
23305,Romance
23349,Comedy
23349,Drama
23427,Crime
23427,Drama
23427,Thriller
23563,Crime
23563,Fantasy
23563,Horror
23634,Comedy
23634,Drama
23642,Comedy
23642,Drama
23642,Romance
23649,Horror
23685,Drama
23685,History
23685,Romance
23694,Horror
23817,Crime
23817,Drama
23876,Drama
23876,Romance
23876,War
23902,Drama
23902,War
23937,Drama
23969,Comedy
23969,Musical
24092,Comedy
24166,Comedy
24166,Musical
24166,Romance
24184,Drama
24184,Horror
24184,Sci-Fi
24184,Thriller
24188,Adventure
24188,Horror
24188,Romance
24188,Sci-Fi
24216,Adventure
24216,Fantasy
24216,Horror
24353,Drama
24353,Romance
24660,Animation
24660,Musical
24660,Family
24660,Comedy
24660,Short
24803,Short
24803,Comedy
24803,Drama
24831,Comedy
24831,Drama
24831,Family
24844,Drama
24844,Romance
24894,Horror
24894,Crime
24894,Adventure
24894,Thriller
25132,Comedy
25132,Drama
25132,Romance
25263,Comedy
25263,Musical
25290,Comedy
25290,Romance
25316,Comedy
25316,Romance
25330,Comedy
25330,Crime
25330,Drama
25330,Romance
25409,Drama
25409,Romance
25452,Crime
25452,Mystery
25452,Thriller
25456,Documentary
25461,Drama
25494,Comedy
25586,Drama
25586,Romance
25590,Comedy
25803,Comedy
25878,Comedy
25878,Crime
25878,Mystery
