user_id,movie_id,rating,rating_timestamp,rating_date_day,rating_date_month,rating_date_year,rating_date_hour,rating_date_minute
11746,2844,6,1362810972,09,03,2013,17,36
7705,4936,8,1367791953,06,05,2013,08,12
10136,4936,5,1373070069,06,07,2013,10,21
14694,4972,8,1376915771,19,08,2013,22,36
10136,5078,4,1377262575,23,08,2013,22,56
3673,6684,6,1377374004,25,08,2013,05,53
3673,6689,6,1377373985,25,08,2013,05,53
3679,6689,5,1377373985,25,08,2013,05,53
1830,7264,8,1363528962,18,03,2013,01,02
5155,7264,6,1368329727,12,05,2013,13,35
10136,7880,7,1374260041,20,07,2013,04,54
7705,8133,8,1362165215,02,03,2013,06,13
3673,9018,8,1377374054,25,08,2013,05,54
2853,9968,10,1370139507,02,06,2013,12,18
