movie_id,year,user_id,rating,genre
2844,1913,11746,6,Crime
2844,1913,11746,6,Drama
4936,1915,7705,8,Comedy
4936,1915,7705,8,Short
4936,1915,10136,5,Comedy
4936,1915,10136,5,Short
4972,1915,14694,8,Drama
4972,1915,14694,8,History
4972,1915,14694,8,Romance
4972,1915,14694,8,War
5078,1915,10136,4,Drama
6684,1916,3673,6,Short
6684,1916,3673,6,Comedy
6689,1916,3673,6,Short
6689,1916,3673,6,Comedy
6689,1916,3673,6,Drama
6689,1916,3679,5,Short
6689,1916,3679,5,Comedy
6689,1916,3679,5,Drama
7264,1916,1830,8,Comedy
7264,1916,1830,8,Short
7264,1916,5155,6,Comedy
7264,1916,5155,6,Short
7880,1917,10136,7,Short
7880,1917,10136,7,Comedy
8133,1917,7705,8,Short
8133,1917,7705,8,Comedy
8133,1917,7705,8,Drama
8133,1917,7705,8,Romance
9018,1918,3673,8,Short
9018,1918,3673,8,Comedy
9968,1919,2853,10,Drama
9968,1919,2853,10,Romance
